Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure
0.125,0,,,12,,,,,27,,,0
0.347826087,0.07,0.387187662,0.22,7,0.467142857,0.817044325,4.237819983,5.147867412,17.25,17.008,19.46034914,15
0,0,,,6,,,,,50.25,,,0
0.073529412,0.13,0.396410525,0.2725,5,0.310625,0.43154589,3.052627488,3.892076068,25.5,12.84666667,17.88396869,24
0.15,0.23,0.774797412,0.398823529,3,0.293958333,0.896460509,1.851527778,3.964607796,37.5,16.32705882,26.10920234,17
0.25,0.25,0.429180154,0.254285714,6,0.440333333,1.01537888,1.012962963,1.909702559,69,19.10857143,22.77407665,14
0.142857143,0.07,0.112085623,0.116428571,9,0.154545455,0.298915654,2.893228582,4.90374753,26.25,16.00571429,21.19652138,14
0.407407407,0.23,0.54831126,0.475,6,0.434,0.52728076,3.336158192,3.901000392,20.25,10.63272727,10.65252136,22
0.111111111,0.16,0.395800034,0.3508,7,0.307674419,0.392918489,2.134263566,2.54513767,33.75,10.1808,11.27177667,25
0.449275362,0,,,9,,,,,51.75,,,0
0.05,0.15,0.386693246,0.30125,9,0.279387755,0.35354401,1.909647495,2.18973938,37.5,11.135,8.597858648,16
0.375,0.1,2.991916834,1.056111111,10,0.870909091,2.721854951,2.242424242,2.845939156,18,6.608888889,7.622672751,18
0.385714286,0.27,1.857573608,0.871666667,4,0.82942029,1.582950414,1.21294686,2.526075084,52.5,9.4975,17.01610011,24
0.357142857,0.19,1.610435823,0.586538462,2,1.739117647,4.967098029,2.579624893,2.47831326,26.25,10.38461538,8.975437251,26
0.65,0.14,0.178803692,0.174736842,1,1.124736842,3.094443789,2.440935673,2.773068808,30,12.2,11.42174145,19
0,0.11,0.10944666,0.096428571,7,0.16097561,0.189905304,2.218454624,3.338212266,32.25,16.42285714,18.27584005,14
0.35,0.16,0.613595096,0.332142857,6,0.518421053,1.001826781,2.561769006,2.223663519,30,9.408571429,9.067067685,28
0.435897436,0.2,0.234339146,0.200714286,4,0.571621622,1.055721221,2.595890855,3.477085071,29.25,18.85142857,19.80366045,14
0.22,0.16,0.429663271,0.25,6,0.465208333,1.485770793,2.017546296,2.137863946,37.5,14.668,12.3173825,20
0,0.11,0.237787545,0.183125,9,0.1525,0.238990934,2.229078014,3.697527573,30.75,17.935,22.15532502,16
0.482758621,0.67,1.61955553,0.822962963,5,0.801428571,1.593360563,2.772204387,2.770552411,21.75,7.561851852,7.488713578,27
0.266666667,0.21,3.45464334,1.198333333,5,1.109230769,3.323134719,4.939271255,5.173379982,11.25,15.14,14.87026563,12
0.222222222,0.13,0.610092109,0.374666667,14,0.3284,0.523383862,3.578566978,4.034405784,20.25,15.72,14.43028561,15
0.364583333,0.57,2.320345614,0.975526316,1,0.97106383,2.14818147,1.794326241,1.40531829,36,6.385263158,4.824840419,38
0.269230769,0,,,6,,,,,19.5,,,0
0.671052632,0.32,0.604144996,0.435,2,0.796944444,0.927693975,2.716116479,4.047167727,28.5,14.74222222,19.64035328,18
0.574074074,0.17,0.946349885,0.773888889,6,0.7236,1.012512881,3.402834646,4.677268769,20.25,16.48888889,19.85949969,18
0.090909091,0.69,0.994888258,0.522142857,8,0.72047619,1.027167434,2.29502866,2.728314081,33,11.83428571,12.50674112,28
0.034482759,0.14,0.176542724,0.1244,6,0.13,0.175805837,2.264427218,2.359806355,21.75,9.394,9.206434344,25
0.435483871,0,,,6,,,,,23.25,,,0
0.425,0.39,0.764413823,0.515277778,7,0.490526316,0.751045928,2.04887218,2.238714743,30,9.01,9.498941294,36
0.451612903,0.35,0.449360657,0.33,6,0.516896552,1.068540739,3.314907432,4.845334365,23.25,24.91111111,27.581891,9
0.326923077,0.6,0.67532396,0.495217391,1,0.4596,0.658220328,3.40918239,3.632189857,19.5,11.18782609,11.88335083,23
0.419642857,0.23,1.371548638,0.7596,4,3.563818182,12.0547577,1.71965812,2.870201947,42,11.9664,18.43898652,25
0.41025641,0.13,0.384532183,0.29375,14,0.557837838,0.989975126,2.609467959,3.449276211,29.25,12.5,11.07474725,16
0.24137931,0,,,7,,,,,21.75,,,0
0.225352113,0.23,0.522043303,0.3465,2,0.26115942,0.619044654,1.38433455,2.155545202,53.25,5.248,4.151197164,20
0.060606061,0.18,0.257451901,0.187407407,11,0.186774194,0.245117483,2.176031911,2.72867267,24.75,4.418888889,5.319731293,27
0.509433962,0.17,3.683866652,1.4314,5,1.405686275,3.651462312,1.576262363,1.367972888,39.75,3.6256,3.089497786,50
0.454545455,0.39,0.789852691,0.545454545,8,0.910645161,1.785594085,3.127269522,4.754396792,24.75,23.46909091,23.50018955,11
0.4,0.22,1.35777376,0.738125,7,0.748484848,1.332420545,2.792874693,2.961689107,26.25,16.665,12.54270465,16
0.023809524,0.12,0.108284999,0.136153846,7,0.233225806,0.506400911,1.580758746,2.500707575,47.25,19.04615385,17.48695397,13
0.106382979,0.23,0.202309394,0.279090909,8,0.783555556,3.823772623,2.151663847,3.67149277,35.25,22.52363636,21.39976414,11
0.083333333,0.17,0.48970543,0.253529412,6,0.237659574,0.456557119,1.920373952,1.876065627,36,8.748235294,7.843484256,34
0.058823529,0.13,0.318488898,0.225217391,8,3.801969697,15.87278883,1.40853489,2.4131224,51,11.46086957,14.67994981,23
0.322033898,0.28,0.316485913,0.233333333,10,0.656491228,1.567323117,1.681466235,2.811737606,44.25,9.817142857,13.85051954,21
0.253731343,0.23,0.400187456,0.28,8,0.504769231,1.424801639,1.455162485,2.20187951,50.25,11.15809524,12.40257055,21
0.285714286,0.17,0.255612554,0.276,7,0.2525,0.239245975,6.341463415,6.716812468,10.5,24.12,22.78220748,10
0.338235294,0,,,7,,,,,25.5,,,0
0.12745098,0,,,7,,,,,38.25,,,0
